PERMNO,date,TICKER,HSICMG,BIDLO,ASKHI,PRC,VOL,OPENPRC,sprtrn
84398,05/23/2000,SPY,,137.56250,140.81250,138.00000,7979199,140.43750,-0.019176
84398,05/24/2000,SPY,,136.50000,140.68750,140.25000,11084500,138.00000,0.018335
84398,05/25/2000,SPY,,137.71875,141.81250,137.84375,8278899,140.68750,-0.012530
84398,05/26/2000,SPY,,137.32813,139.68750,138.00000,4814000,138.81250,-0.002533
84398,05/30/2000,SPY,,139.46875,142.93750,142.71875,5362599,140.00000,0.032242
84398,05/31/2000,SPY,,142.09375,144.00000,142.81250,6056500,142.56250,-0.001301
84398,06/01/2000,SPY,,143.00000,145.43750,145.31250,8961599,143.68750,0.019858
84398,06/02/2000,SPY,,147.48438,149.09375,147.84375,8962199,148.93750,0.019637
84398,06/05/2000,SPY,,146.87500,148.21875,147.12500,6998099,147.46875,-0.006519
84398,06/06/2000,SPY,,145.90625,147.78125,146.46875,4858899,146.62500,-0.006671
84398,06/07/2000,SPY,,146.00000,148.00000,147.48438,4919500,146.62500,0.009274
84398,06/08/2000,SPY,,146.06250,147.75000,146.90625,5723099,147.50000,-0.006586
84398,06/09/2000,SPY,,145.62500,147.96875,146.59375,3085299,147.50000,-0.003229
84398,06/12/2000,SPY,,144.87500,146.96875,144.87500,3436799,146.96875,-0.007516
84398,06/13/2000,SPY,,144.62500,147.75000,147.59375,6551500,144.81250,0.016210
84398,06/14/2000,SPY,,147.18750,148.87500,147.84375,6407099,148.25000,0.000749
84398,06/15/2000,SPY,,146.84375,148.75000,148.15625,5776199,148.12500,0.005569
84398,06/16/2000,SPY,,145.87500,148.31250,146.59375,5526199,148.31250,-0.009650
84398,06/19/2000,SPY,,146.25000,149.15625,148.46875,5090500,146.46875,0.014708
84398,06/20/2000,SPY,,147.00000,148.87500,147.93750,5662299,148.18750,-0.006763
84398,06/21/2000,SPY,,146.89063,148.43750,147.84375,3112699,146.93750,0.002155
84398,06/22/2000,SPY,,145.00000,147.68750,145.62500,7486500,147.56250,-0.018220
84398,06/23/2000,SPY,,143.87500,146.12500,144.37500,4469899,145.81250,-0.007368
84398,06/26/2000,SPY,,144.87500,146.25000,146.23438,5194799,145.37500,0.009594
84398,06/27/2000,SPY,,145.01563,146.71875,145.15625,4076599,145.98438,-0.003271
84398,06/28/2000,SPY,,145.31250,146.98438,145.56250,5320099,145.62500,0.002944
84398,06/29/2000,SPY,,143.51563,145.75000,144.18750,6339199,144.75000,-0.008544
84398,06/30/2000,SPY,,143.89063,145.59375,145.28125,7396601,143.93750,0.008465
84398,07/03/2000,SPY,,145.18750,147.43750,147.28125,1431899,145.43750,0.010271
84398,07/05/2000,SPY,,144.37500,146.65625,144.62500,2714799,146.37500,-0.015862
84398,07/06/2000,SPY,,144.21875,146.46875,145.75000,5382899,144.93750,0.007219
84398,07/07/2000,SPY,,146.25000,148.78125,148.09375,3021299,146.68750,0.015261
84398,07/10/2000,SPY,,147.53125,148.90625,147.84375,2814500,147.87500,-0.002218
84398,07/11/2000,SPY,,147.15625,149.12500,148.15625,5420699,147.46875,0.003565
84398,07/12/2000,SPY,,148.68750,150.12500,149.12500,5800699,149.28125,0.008130
84398,07/13/2000,SPY,,149.18750,150.37500,149.78125,5354099,149.98438,0.001956
84398,07/14/2000,SPY,,149.67188,151.25000,151.25000,5335199,150.43750,0.009453
84398,07/17/2000,SPY,,150.68750,151.98438,151.00000,3933000,150.98438,0.000338
84398,07/18/2000,SPY,,149.34375,150.62500,149.76563,4245599,150.62500,-0.011089
84398,07/19/2000,SPY,,148.25000,149.90625,148.68750,8294199,149.46875,-0.007886
84398,07/20/2000,SPY,,148.81250,150.62500,150.62500,4283000,149.00000,0.009184
84398,07/21/2000,SPY,,147.68750,149.75000,147.68750,5370399,149.75000,-0.010284
84398,07/24/2000,SPY,,146.56250,148.85938,146.84375,5625299,148.12500,-0.010742
84398,07/25/2000,SPY,,146.78125,147.84375,147.31250,4488799,147.75000,0.006952
84398,07/26/2000,SPY,,145.64063,147.15625,145.87500,11773299,146.96875,-0.014955
84398,07/27/2000,SPY,,144.68750,146.62500,145.37500,7640000,145.93750,-0.001928
84398,07/28/2000,SPY,,141.51563,145.90625,142.09375,6217099,145.71875,-0.020509
84398,07/31/2000,SPY,,142.06250,144.12500,142.90625,5235000,142.93750,0.007705
84398,08/01/2000,SPY,,143.12500,144.71875,143.87500,3939599,143.62500,0.005081
84398,08/02/2000,SPY,,143.62500,145.40625,144.59375,7432899,143.87500,0.000417
84398,08/03/2000,SPY,,142.62500,145.81250,145.59375,4544799,142.87500,0.009634
84398,08/04/2000,SPY,,145.40625,146.71875,146.37500,3679599,146.31250,0.007139
84398,08/07/2000,SPY,,146.37500,148.43750,148.12500,4134500,146.71875,0.011204
84398,08/08/2000,SPY,,147.50000,148.81250,148.68750,3591699,147.50000,0.002352
84398,08/09/2000,SPY,,147.37500,149.21875,147.43750,5350899,149.14063,-0.006697
