date,price,dix,gex
2011-09-14,1188.680054,0.46705869884493834,516499239.9450
2011-09-15,1209.109985,0.4450660861919482,924224780.4500
2011-09-16,1216.01001,0.4748035990564252,1627867629.8700
2011-09-19,1204.089966,0.47153249429551525,819791724.4000
2011-09-20,1202.089966,0.4605879968765873,864559001.3350
2011-09-21,1166.76001,0.44870017404501455,480322758.3475
2011-09-22,1129.560059,0.4814290377773537,42688858.2600
2011-09-23,1136.430054,0.45709147742614087,246153269.0800
2011-09-26,1162.949951,0.456608486157575,415707524.7800
2011-09-27,1175.380005,0.4491521989715028,506709646.2200
2011-09-28,1151.060059,0.4838489862903535,303390928.7350
2011-09-29,1160.400024,0.45118694092554207,253516385.7200
2011-09-30,1131.420044,0.4755066632010339,11640191.3700
2011-10-03,1099.22998,0.4802980138670149,-220425308.0500
