date,Mkt-RF,SMB,HML,RMW,CMA,RF
20060912,1.18,1.1,-0.28,-0.08,-0.13,0.02
20060913,0.45,0.43,-0.03,0.27,-0.25,0.02
20060914,-0.16,-0.25,0.04,-0.15,0.19,0.02
20060915,0.21,-0.04,-0.18,0.15,-0.18,0.02
20060918,0.04,-0.01,-0.24,0.26,-0.18,0.02
20060919,-0.29,-0.2,0.13,0.16,0.23,0.02
20060920,0.6,0.54,-0.03,-0.28,0.26,0.02
20060921,-0.59,-0.33,0.05,0.36,-0.24,0.02
20060922,-0.41,-0.8,0.42,0.18,0.08,0.02
20060925,0.86,0.17,0.1,-0.18,0.18,0.02
20060926,0.71,-0.35,-0.22,0.47,-0.19,0.02
20060927,0.08,0.35,-0.08,0.13,0.07,0.02
20060928,0.15,-0.14,-0.15,-0.03,-0.15,0.02
20060929,-0.33,-0.61,0.2,-0.35,0.01,0.02
20061002,-0.43,-0.54,0.2,-0.13,0.37,0.018
20061003,0.13,-0.36,0.43,-0.3,0.44,0.018
20061004,1.28,0.71,-0.46,0.1,-0.13,0.018
20061005,0.43,0.9,-0.32,0.01,-0.24,0.018
20061006,-0.31,-0.07,-0.1,-0.05,0.1,0.018
20061009,0.2,0.43,0.08,-0.08,-0.04,0.018
20061010,0.21,0.03,-0.04,0.37,-0.29,0.018
20061011,-0.3,-0.28,0.2,-0.27,0.22,0.018
20061012,1.07,0.97,-0.25,0.11,-0.26,0.018
20061013,0.22,0.47,-0.05,-0.1,-0.16,0.018
20061016,0.34,0.63,-0.25,0.15,-0.2,0.018
20061017,-0.44,-0.18,0.35,-0.12,0.39,0.018
20061018,0.08,-0.33,0.05,0.08,0.2,0.018
20061019,0.1,0.49,-0.24,0.08,-0.23,0.018
20061020,-0.02,-0.7,-0.08,0.13,0.17,0.018
20061023,0.56,-0.47,-0.22,0.1,-0.09,0.018
20061024,0.01,-0.15,0.2,0.45,-0.51,0.018
20061025,0.32,0.22,-0.02,0.14,-0.11,0.018
20061026,0.63,0.41,0.21,-0.5,0.08,0.018
20061027,-0.88,-0.31,0.08,0.01,0.3,0.018
20061030,0.07,0.38,0.17,-0.27,0.36,0.018
